<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MM;D;20181002;000000;121.15479452054687;1
MM;D;20181003;000000;121.17534246575235;1
MM;D;20181004;000000;121.19589041095783;1
MM;D;20181005;000000;121.21643835616331;1
MM;D;20181008;000000;121.27808219177975;1
MM;D;20181009;000000;121.29863013698522;1
MM;D;20181010;000000;121.3191780821907;1
MM;D;20181011;000000;121.33972602739618;1
MM;D;20181012;000000;121.36027397260166;1
MM;D;20181015;000000;121.4219178082181;1
MM;D;20181016;000000;121.44246575342358;1
MM;D;20181017;000000;121.46301369862906;1
MM;D;20181018;000000;121.48356164383453;1
MM;D;20181019;000000;121.50410958904001;1
MM;D;20181022;000000;121.56575342465645;1
MM;D;20181023;000000;121.58630136986193;1
MM;D;20181024;000000;121.60684931506741;1
MM;D;20181025;000000;121.62739726027289;1
MM;D;20181026;000000;121.64794520547836;1
MM;D;20181029;000000;121.7095890410948;1
MM;D;20181030;000000;121.73013698630028;1
MM;D;20181031;000000;121.75068493150576;1
MM;D;20181101;000000;121.77123287671124;1
MM;D;20181102;000000;121.79178082191672;1
MM;D;20181106;000000;121.87397260273863;1
MM;D;20181107;000000;121.89452054794411;1
MM;D;20181108;000000;121.91506849314959;1
MM;D;20181109;000000;121.93561643835507;1
MM;D;20181112;000000;121.9972602739715;1
MM;D;20181113;000000;122.01780821917698;1
MM;D;20181114;000000;122.03835616438246;1
MM;D;20181115;000000;122.05890410958794;1
MM;D;20181116;000000;122.07945205479342;1
MM;D;20181119;000000;122.14109589040986;1
MM;D;20181120;000000;122.16164383561534;1
MM;D;20181121;000000;122.18219178082082;1
